Ticker,Company,Index Fund
601857.SS,PetroChina,Chinese CSI 300
000783.SZ,Changjiang Securities Company,Chinese CSI 300
300017.SZ,Wangsu Science and Technology,Chinese CSI 300
601628.SS,China Life Insurance Company,Chinese CSI 300
000063.SZ,ZTE,Chinese CSI 300
002673.SZ,Western Securities,Chinese CSI 300
002739.SZ,Wanda Cinemas,Chinese CSI 300
601336.SS,New China Life Insurance,Chinese CSI 300
601899.SS,Zijin Mining Group,Chinese CSI 300
600547.SS,Shandong Gold-Mining,Chinese CSI 300
600690.SS,Qingdao Haier,Chinese CSI 300
002594.SZ,BYD,Chinese CSI 300
600585.SS,Anhui Conch Cement,Chinese CSI 300
600011.SS,Huaneng Power International,Chinese CSI 300
601985.SS,China National Nuclear Power,Chinese CSI 300
000423.SZ,Shandong Dong-E e-Jiao,Chinese CSI 300
002142.SZ,Bank of Ningbo,Chinese CSI 300
600066.SS,Zhengzhou Yutong Bus,Chinese CSI 300
600637.SS,Shanghai Oriental Pearl Media,Chinese CSI 300
601186.SS,China Railway Construction,Chinese CSI 300
000503.SZ,Searainbow Holding,Chinese CSI 300
600029.SS,China Southern Airlines,Chinese CSI 300
601088.SS,China Shenhua Energy,Chinese CSI 300
601901.SS,Founder Securities,Chinese CSI 300
600111.SS,China Northern Rare Earth Group,Chinese CSI 300
601555.SS,Soochow Securities,Chinese CSI 300
300070.SZ,Beijing Originwater Technology,Chinese CSI 300
600010.SS,Inner Mongolia Baotou Steel Union,Chinese CSI 300
600100.SS,Tsinghua Tongfang,Chinese CSI 300
600570.SS,Hundsun Technologies,Chinese CSI 300
600893.SS,AVIC Aviation Engine Corporation,Chinese CSI 300
601099.SS,Pacific Securities,Chinese CSI 300
600009.SS,Shanghai International Airport,Chinese CSI 300
600115.SS,China Eastern Airlines Corp,Chinese CSI 300
601211.SS,Guotai Junan Securities,Chinese CSI 300
002230.SZ,Iflytek,Chinese CSI 300
300024.SZ,Siasun Robot & Automation,Chinese CSI 300
600271.SS,Aisino,Chinese CSI 300
600535.SS,Tasly Pharmaceutical Group,Chinese CSI 300
600705.SS,AVIC Capital,Chinese CSI 300
000100.SZ,TCL Corporation,Chinese CSI 300
600489.SS,Zhongjin Gold,Chinese CSI 300
600703.SS,Sanan Optoelectronics,Chinese CSI 300
000895.SZ,Henan Shuanghui Investment & Development,Chinese CSI 300
002202.SZ,Xinjiang Goldwind Science & Technology,Chinese CSI 300
300027.SZ,Huayi Brothers Media,Chinese CSI 300
600019.SS,Baoshan Iron and Steel,Chinese CSI 300
600196.SS,Fosun Pharmaceutical,Chinese CSI 300
600886.SS,SDIC Power Holdings,Chinese CSI 300
601669.SS,Power Construction Corporation of China,Chinese CSI 300
000768.SZ,AVIC Aircraft,Chinese CSI 300
000839.SZ,CITIC Guoan Information Industry,Chinese CSI 300
002241.SZ,GoerTek,Chinese CSI 300
600089.SS,TBEA,Chinese CSI 300
600109.SS,Sinolink Securities,Chinese CSI 300
601607.SS,Shanghai Pharmaceuticals Holding,Chinese CSI 300
601727.SS,Shanghai Electric Group,Chinese CSI 300
000069.SZ,Shenzhen Overseas Chinese Town Company,Chinese CSI 300
000568.SZ,Luzhou Lao Jiao,Chinese CSI 300
002456.SZ,Shenzhen O-film Tech,Chinese CSI 300
600177.SS,Youngor Group,Chinese CSI 300
600340.SS,China Fortune Land Development,Chinese CSI 300
600660.SS,Fuyao Glass Industry Group,Chinese CSI 300
600804.SS,Dr. Peng Telecom&Media,Chinese CSI 300
601198.SS,Dongxing Securities,Chinese CSI 300
601888.SS,China International Travel Service,Chinese CSI 300
000009.SZ,China Baoan Group,Chinese CSI 300
000413.SZ,Dongxu Optoelectronic Technology,Chinese CSI 300
000728.SZ,Guoyuan Securities Company,Chinese CSI 300
002236.SZ,Zhejiang Dahua Technology,Chinese CSI 300
600023.SS,Zhejiang Zheneng Electric Power,Chinese CSI 300
600352.SS,Zhejiang Longsheng Group,Chinese CSI 300
600383.SS,Gemdale Corporation,Chinese CSI 300
600406.SS,NARI Technology,Chinese CSI 300
600649.SS,Shanghai Chengtou Holding,Chinese CSI 300
600867.SS,Tonghua Dongbao Pharmaceutical,Chinese CSI 300
601111.SS,Air China,Chinese CSI 300
000338.SZ,Weichai Power,Chinese CSI 300
002252.SZ,Shanghai RAAS Blood Products,Chinese CSI 300
600369.SS,Southwest Securities,Chinese CSI 300
600674.SS,Sichuan Chuantou Energy,Chinese CSI 300
600741.SS,HUAYU Automotive Systems Company,Chinese CSI 300
601600.SS,Aluminum Corporation of China Limited,Chinese CSI 300
000793.SZ,Huawen Media Investment,Chinese CSI 300
300315.SZ,Ourpalm,Chinese CSI 300
600031.SS,Sany Heavy Industry,Chinese CSI 300
600221.SS,Hainan Airlines,Chinese CSI 300
600309.SS,Wanhua Chemical Group,Chinese CSI 300
600485.SS,Beijing Xinwei Telecom Technology Group,Chinese CSI 300
601788.SS,Everbright Securities,Chinese CSI 300
601919.SS,China Cosco Holdings,Chinese CSI 300
000917.SZ,Hunan TV & Broadcast Intermediary,Chinese CSI 300
002008.SZ,Han's Laser Technology Industry Group,Chinese CSI 300
002465.SZ,Guangzhou Haige Communications Group,Chinese CSI 300
600068.SS,China Gezhouba Group,Chinese CSI 300
600118.SS,China Spacesat,Chinese CSI 300
600153.SS,Xiamen C&D,Chinese CSI 300
600739.SS,Liaoning Cheng Da,Chinese CSI 300
601018.SS,Ningbo Port,Chinese CSI 300
601933.SS,Yonghui Superstores,Chinese CSI 300
000157.SZ,Zoomlion Heavy Industry Science & Technology,Chinese CSI 300
000540.SZ,Zhongtian Urban Development Group,Chinese CSI 300
000623.SZ,Jilin Aodong Pharmaceutical Group,Chinese CSI 300
600061.SS,SDIC Essence,Chinese CSI 300
601618.SS,Metallurgical Corporation of China,Chinese CSI 300
601998.SS,China Citic Bank,Chinese CSI 300
000630.SZ,Tongling Nonferrous Metals Group,Chinese CSI 300
000686.SZ,Northeast Securities,Chinese CSI 300
000876.SZ,New Hope Liuhe,Chinese CSI 300
002007.SZ,Hualan Biological Engineering,Chinese CSI 300
002475.SZ,Luxshare Precision Industry,Chinese CSI 300
300124.SZ,Shenzhen Inovance Technology,Chinese CSI 300
600018.SS,Shanghai International Port Group,Chinese CSI 300
600085.SS,Beijing Tongrentang,Chinese CSI 300
600415.SS,Zhejiang China Commodities City Group,Chinese CSI 300
600718.SS,Neusoft Corporation,Chinese CSI 300
000060.SZ,Shenzhen Zhongjin Lingnan Nonfemet,Chinese CSI 300
000559.SZ,Wanxiang Qianchao,Chinese CSI 300
000963.SZ,Huadong Medicine,Chinese CSI 300
002385.SZ,Beijing Dabeinong Technology Group,Chinese CSI 300
300003.SZ,Lepu Medical Technology,Chinese CSI 300
300168.SZ,Wonders Information,Chinese CSI 300
600583.SS,Offshore Oil Engineering,Chinese CSI 300
600588.SS,Yonyou Network Technology,Chinese CSI 300
600663.SS,Shanghai Lujiazui Finance and Trade Zone Development,Chinese CSI 300
600816.SS,Anxin Trust,Chinese CSI 300
600839.SS,Sichuan Changhong Electric,Chinese CSI 300
601800.SS,China Communications Construction Company,Chinese CSI 300
000046.SZ,Oceanwide Holdings,Chinese CSI 300
000402.SZ,Financial Street Holding,Chinese CSI 300
000826.SZ,Tus-Sound Environmental Resources,Chinese CSI 300
002065.SZ,DHC Software,Chinese CSI 300
002081.SZ,Suzhou Gold Mantis Construction Decoration,Chinese CSI 300
002183.SZ,Eternal Asia Supply Chain Management,Chinese CSI 300
002292.SZ,Alpha Group,Chinese CSI 300
002500.SZ,Shanxi Securities,Chinese CSI 300
600150.SS,China CSSC Holdings,Chinese CSI 300
600398.SS,Heilan Home,Chinese CSI 300
600446.SS,Shenzhen Kingdom Technology,Chinese CSI 300
603993.SS,China Molybdenum,Chinese CSI 300
000750.SZ,Sealand Securities,Chinese CSI 300
000792.SZ,Qinghai Salt Lake Industry,Chinese CSI 300
300015.SZ,Aier Eye Hospital Group,Chinese CSI 300
600074.SS,Jiangsu Protruly Vision Technology Group,Chinese CSI 300
600157.SS,Wintime Energy,Chinese CSI 300
600208.SS,Xinhu Zhongbao,Chinese CSI 300
600820.SS,Shanghai Tunnel Engineering,Chinese CSI 300
000977.SZ,Inspur Electronic Information Industry,Chinese CSI 300
002470.SZ,Kingenta Ecological Engineering Group,Chinese CSI 300
300058.SZ,BlueFocus Communication Group,Chinese CSI 300
300144.SZ,Songcheng Performance Development,Chinese CSI 300
600060.SS,Hisense Electric,Chinese CSI 300
600256.SS,Guanghui Energy,Chinese CSI 300
600332.SS,Guangzhou Baiyunshan Pharmaceutical Holdings,Chinese CSI 300
600642.SS,Shenergy Company,Chinese CSI 300
600895.SS,Shanghai Zhangjiang Hi-tech Park Development,Chinese CSI 300
601106.SS,China First Heavy Industries,Chinese CSI 300
601333.SS,Guangshen Railway,Chinese CSI 300
000415.SZ,Bohai Financial Investment Holding,Chinese CSI 300
000425.SZ,XCMG Construction Machinery,Chinese CSI 300
002422.SZ,Sichuan Kelun Pharmaceutical,Chinese CSI 300
600027.SS,Huadian Power International Corporation,Chinese CSI 300
600688.SS,Sinopec Shanghai Petrochemical,Chinese CSI 300
601098.SS,China South Publishing & Media Group,Chinese CSI 300
601633.SS,Great Wall Motor,Chinese CSI 300
601718.SS,Jihua Group,Chinese CSI 300
601866.SS,China Shipping Container Lines,Chinese CSI 300
000709.SZ,Hesteel Company,Chinese CSI 300
000738.SZ,AVIC Aero-Engine Controls,Chinese CSI 300
002152.SZ,GRG Banking Equipment,Chinese CSI 300
300002.SZ,Beijing Ultrapower Software,Chinese CSI 300
600170.SS,Shanghai Construction,Chinese CSI 300
600252.SS,Guangxi Wuzhou Zhongheng Group,Chinese CSI 300
600362.SS,Jiangxi Copper,Chinese CSI 300
600373.SS,Chinese Universe Publishing And Media,Chinese CSI 300
600737.SS,Cofco Tunhe,Chinese CSI 300
600873.SS,Meihua Holdings Group,Chinese CSI 300
600875.SS,Dongfang Electric Corporation,Chinese CSI 300
601021.SS,Spring Airlines,Chinese CSI 300
601258.SS,Pangda Automobile Trade,Chinese CSI 300
601991.SS,Datang International Power Generation,Chinese CSI 300
002129.SZ,Tianjin Zhonghuan Semiconductor,Chinese CSI 300
600037.SS,Beijing Gehua CATV Network,Chinese CSI 300
600376.SS,Beijing Capital Development,Chinese CSI 300
601117.SS,China National Chemical Engineering,Chinese CSI 300
601225.SS,Shaanxi Coal Industry Company,Chinese CSI 300
601872.SS,China Merchants Energy Shipping,Chinese CSI 300
603000.SS,People.cn,Chinese CSI 300
000039.SZ,China International Marine Containers,Chinese CSI 300
000061.SZ,Shenzhen Agricultural Products,Chinese CSI 300
000729.SZ,Beijing Yanjing Brewery,Chinese CSI 300
000778.SZ,Xinxing Ductile Iron Pipes,Chinese CSI 300
000999.SZ,China Resources Sanjiu Medical & Pharmaceutical,Chinese CSI 300
300133.SZ,Zhejiang Huace Film & TV,Chinese CSI 300
600372.SS,China Avionics Systems,Chinese CSI 300
600704.SS,Zhejiang Material Industrial Zhongda Yuantong Group,Chinese CSI 300
601179.SS,China XD Electric,Chinese CSI 300
601898.SS,China Coal Energy,Chinese CSI 300
601992.SS,BBMG Corporation,Chinese CSI 300
000883.SZ,Hubei Energy Group,Chinese CSI 300
002027.SZ,Focus Media Information Technology,Chinese CSI 300
002146.SZ,Risesun Real Estate Development,Chinese CSI 300
300146.SZ,BY-HEALTH,Chinese CSI 300
300251.SZ,Beijing Enlight Media,Chinese CSI 300
600008.SS,Beijing Capital,Chinese CSI 300
600021.SS,Shanghai Electric Power,Chinese CSI 300
600038.SS,AVIC Helicopter,Chinese CSI 300
600827.SS,Shanghai Bailian Group,Chinese CSI 300
601216.SS,Inner Mongolia Junzheng Energy & Chemical Group,Chinese CSI 300
000712.SZ,Guangdong Golden Dragon Development,Chinese CSI 300
000800.SZ,FAW Car,Chinese CSI 300
002195.SZ,Shanghai 2345 Network Holding Group,Chinese CSI 300
002294.SZ,Shenzhen Salubris Pharmaceuticals,Chinese CSI 300
600863.SS,Inner Mongolia Mengdian Huaneng Thermal Power Corp,Chinese CSI 300
000027.SZ,Shenzhen Energy Group,Chinese CSI 300
000156.SZ,Wasu Media Holding,Chinese CSI 300
000825.SZ,Taigang Stainless Steel,Chinese CSI 300
000898.SZ,Angang Steel Company,Chinese CSI 300
002153.SZ,Beijing Shiji Information Technology,Chinese CSI 300
002424.SZ,Guizhou Bailing Group Pharmaceutical,Chinese CSI 300
300085.SZ,Shenzhen Infogem Technologies,Chinese CSI 300
600582.SS,Tiandi Science & Technology,Chinese CSI 300
600600.SS,Tsingtao Brewery,Chinese CSI 300
600666.SS,Aurora Optoelectronics,Chinese CSI 300
600959.SS,Jiangsu Broadcasting Cable Information Network Corporation,Chinese CSI 300
601928.SS,Jiangsu Phoenix Publishing & Media,Chinese CSI 300
601958.SS,Jinduicheng Molybdenum,Chinese CSI 300
600317.SS,Yingkou Port Liability,Chinese CSI 300
600648.SS,Shanghai Waigaoqiao Free Trade Zone,Chinese CSI 300
600685.SS,COMEC (CSS Offshore & Marine Engineering),Chinese CSI 300
600871.SS,Sinopec Oilfield Service Corporation,Chinese CSI 300
600998.SS,Jointown Pharmaceutical Group,Chinese CSI 300
601118.SS,China Hainan Rubber Industry Group,Chinese CSI 300
601608.SS,CITIC-Heavy Industries,Chinese CSI 300
601808.SS,China Oilfield Services,Chinese CSI 300
002399.SZ,Shenzhen Hepalink Pharmaceutical,Chinese CSI 300
600098.SS,Guangzhou Development Group Incorporated,Chinese CSI 300
600578.SS,Beijing Jingneng Power,Chinese CSI 300
600783.SS,Luxin Venture Capital Group,Chinese CSI 300
002568.SZ,Bairun,Chinese CSI 300
600022.SS,Shandong Iron and Steel Company,Chinese CSI 300
600188.SS,Yanzhou Coal Mining,Chinese CSI 300
603885.SS,Juneyao Airlines,Chinese CSI 300
600606.SS,China Development Holdings,Chinese CSI 300
601016.SS,CECEP Wind-Power Corporation,Chinese CSI 300
III.L,3i,British FTSE 100
ABDN.L,Abrdn,British FTSE 100
ADM.L,Admiral Group,British FTSE 100
AAF.L,Airtel Africa,British FTSE 100
AAL.L,Anglo American plc,British FTSE 100
ANTO.L,Antofagasta plc,British FTSE 100
AHT.L,Ashtead Group,British FTSE 100
ABF.L,Associated British Foods,British FTSE 100
AZN.L,AstraZeneca,British FTSE 100
AUTO.L,Auto Trader Group,British FTSE 100
AV.L,Aviva,British FTSE 100
BME.L,B&M,British FTSE 100
BA.L,BAE Systems,British FTSE 100
BARC.L,Barclays,British FTSE 100
BDEV.L,Barratt Developments,British FTSE 100
BEZ.L,Beazley Group,British FTSE 100
BKG.L,Berkeley Group Holdings,British FTSE 100
BP.L,BP,British FTSE 100
BATS.L,British American Tobacco,British FTSE 100
BLND.L,British Land,British FTSE 100
BT-A.L,BT Group,British FTSE 100
BNZL.L,Bunzl,British FTSE 100
BRBY.L,Burberry,British FTSE 100
CNA.L,Centrica,British FTSE 100
CCH.L,Coca-Cola HBC,British FTSE 100
CPG.L,Compass Group,British FTSE 100
CTEC.L,Convatec,British FTSE 100
CRH.L,CRH plc,British FTSE 100
CRDA.L,Croda International,British FTSE 100
DCC.L,DCC plc,British FTSE 100
DGE.L,Diageo,British FTSE 100
EDV.L,Endeavour Mining,British FTSE 100
ENT.L,Entain,British FTSE 100
EXPN.L,Experian,British FTSE 100
FCIT.L,Foreign & Colonial Investment Trust,British FTSE 100
FLTR.L,Flutter Entertainment,British FTSE 100
FRAS.L,Frasers Group,British FTSE 100
FRES.L,Fresnillo plc,British FTSE 100
GLEN.L,Glencore,British FTSE 100
GSK.L,GSK plc,British FTSE 100
HLN.L,Haleon,British FTSE 100
HLMA.L,Halma plc,British FTSE 100
HL.L,Hargreaves Lansdown,British FTSE 100
HSX.L,Hiscox,British FTSE 100
HSBA.L,HSBC,British FTSE 100
IHG.L,IHG Hotels & Resorts,British FTSE 100
IMB.L,Imperial Brands,British FTSE 100
INF.L,Informa,British FTSE 100
IAG.L,International Airlines Group,British FTSE 100
ITRK.L,Intertek,British FTSE 100
JD.L,JD Sports,British FTSE 100
JMAT.L,Johnson Matthey,British FTSE 100
KGF.L,Kingfisher plc,British FTSE 100
LAND.L,Land Securities,British FTSE 100
LGEN.L,Legal & General,British FTSE 100
LLOY.L,Lloyds Banking Group,British FTSE 100
LSEG.L,London Stock Exchange Group,British FTSE 100
MNG.L,M&G,British FTSE 100
MRO.L,Melrose Industries,British FTSE 100
MNDI.L,Mondi,British FTSE 100
NG.L,National Grid plc,British FTSE 100
NWG.L,NatWest Group,British FTSE 100
NXT.L,Next plc,British FTSE 100
OCDO.L,Ocado Group,British FTSE 100
PSON.L,Pearson plc,British FTSE 100
PSH.L,Pershing Square Holdings,British FTSE 100
PSN.L,Persimmon plc,British FTSE 100
PHNX.L,Phoenix Group,British FTSE 100
PRU.L,Prudential plc,British FTSE 100
RKT.L,Reckitt,British FTSE 100
REL.L,RELX,British FTSE 100
RTO.L,Rentokil Initial,British FTSE 100
RMV.L,Rightmove,British FTSE 100
RIO.L,Rio Tinto,British FTSE 100
RR.L,Rolls-Royce Holdings,British FTSE 100
RS1.L,RS Group plc,British FTSE 100
SGE.L,Sage Group,British FTSE 100
SBRY.L,Sainsbury's,British FTSE 100
SDR.L,Schroders,British FTSE 100
SMT.L,Scottish Mortgage Investment Trust,British FTSE 100
SGRO.L,Segro,British FTSE 100
SVT.L,Severn Trent,British FTSE 100
SHEL.L,Shell plc,British FTSE 100
SMDS.L,DS Smith,British FTSE 100
SMIN.L,Smiths Group,British FTSE 100
SN.L,Smith & Nephew,British FTSE 100
SKG.L,Smurfit Kappa,British FTSE 100
SPX.L,Spirax-Sarco Engineering,British FTSE 100
SSE.L,SSE plc,British FTSE 100
STAN.L,Standard Chartered,British FTSE 100
STJ.L,St. James's Place plc,British FTSE 100
TW.L,Taylor Wimpey,British FTSE 100
TSCO.L,Tesco,British FTSE 100
ULVR.L,Unilever,British FTSE 100
UU.L,United Utilities,British FTSE 100
UTG.L,Unite Group,British FTSE 100
VOD.L,Vodafone Group,British FTSE 100
WEIR.L,Weir Group,British FTSE 100
WTB.L,Whitbread,British FTSE 100
WPP.L,WPP plc,British FTSE 100
ADS.DE,Adidas,German DAX
AIR.DE,Airbus,German DAX
ALV.DE,Allianz,German DAX
BAS.DE,BASF,German DAX
BAYN.DE,Bayer,German DAX
BEI.DE,Beiersdorf,German DAX
BMW.DE,BMW,German DAX
BNR.DE,Brenntag,German DAX
CBK.DE,Commerzbank,German DAX
CON.DE,Continental,German DAX
1COV.DE,Covestro,German DAX
DTG.DE,Daimler Truck,German DAX
DBK.DE,Deutsche Bank,German DAX
DB1.DE,Deutsche Börse,German DAX
DPW.DE,Deutsche Post,German DAX
DTE.DE,Deutsche Telekom,German DAX
EOAN.DE,E.ON,German DAX
FRE.DE,Fresenius,German DAX
HNR1.DE,Hannover Re,German DAX
HEI.DE,Heidelberg Materials,German DAX
HEN3.DE,Henkel,German DAX
IFX.DE,Infineon Technologies,German DAX
MBG.DE,Mercedes-Benz Group,German DAX
MRK.DE,Merck,German DAX
MTX.DE,MTU Aero Engines,German DAX
MUV2.DE,Munich Re,German DAX
P911.DE,Porsche,German DAX
PAH3.DE,Porsche SE,German DAX
QIA.DE,Qiagen,German DAX
RHM.DE,Rheinmetall,German DAX
RWE.DE,RWE,German DAX
SAP.DE,SAP,German DAX
SRT3.DE,Sartorius,German DAX
SIE.DE,Siemens,German DAX
ENR.DE,Siemens Energy,German DAX
SHL.DE,Siemens Healthineers,German DAX
SY1.DE,Symrise,German DAX
VOW3.DE,Volkswagen Group,German DAX
VNA.DE,Vonovia,German DAX
ZAL.DE,Zalando,German DAX
AI.PA,Air Liquide,French CAC 40
AIR.PA,Airbus,French CAC 40
ALO.PA,Alstom,French CAC 40
MT.AS,ArcelorMittal,French CAC 40
CS.PA,AXA,French CAC 40
BNP.PA,BNP Paribas,French CAC 40
EN.PA,Bouygues,French CAC 40
CAP.PA,Capgemini,French CAC 40
CA.PA,Carrefour,French CAC 40
ACA.PA,Crédit Agricole,French CAC 40
BN.PA,Danone,French CAC 40
DSY.PA,Dassault Systèmes,French CAC 40
ENGI.PA,Engie,French CAC 40
EL.PA,EssilorLuxottica,French CAC 40
ERF.PA,Eurofins Scientific,French CAC 40
RMS.PA,Hermès,French CAC 40
KER.PA,Kering,French CAC 40
OR.PA,L'Oréal,French CAC 40
LR.PA,Legrand,French CAC 40
MC.PA,LVMH,French CAC 40
ML.PA,Michelin,French CAC 40
ORA.PA,Orange,French CAC 40
RI.PA,Pernod Ricard,French CAC 40
PUB.PA,Publicis,French CAC 40
RNO.PA,Renault,French CAC 40
SAF.PA,Safran,French CAC 40
SGO.PA,Saint-Gobain,French CAC 40
SAN.PA,Sanofi,French CAC 40
SU.PA,Schneider Electric,French CAC 40
GLE.PA,Société Générale,French CAC 40
STLAP.PA,Stellantis,French CAC 40
STMPA.PA,STMicroelectronics,French CAC 40
TEP.PA,Teleperformance,French CAC 40
HO.PA,Thales,French CAC 40
TTE.PA,TotalEnergies,French CAC 40
URW.PA,Unibail-Rodamco-Westfield,French CAC 40
VIE.PA,Veolia,French CAC 40
DG.PA,Vinci,French CAC 40
VIV.PA,Vivendi,French CAC 40
WLN.PA,Worldline,French CAC 40
ASIANPAINT.BO,Asian Paints,Indian S&P BSE SENSEX
AXISBANK.BO,Axis Bank,Indian S&P BSE SENSEX
BAJAJ-AUTO.BO,Bajaj Auto,Indian S&P BSE SENSEX
BAJFINANCE.BO,Bajaj Finance,Indian S&P BSE SENSEX
BAJAJFINSV.BO,Bajaj Finserv,Indian S&P BSE SENSEX
BHARTIARTL.BO,Bharti Airtel,Indian S&P BSE SENSEX
DRREDDY.BO,Dr Reddy's Laboratories,Indian S&P BSE SENSEX
HCLTECH.BO,HCL Technologies,Indian S&P BSE SENSEX
HDFC.BO,HDFC,Indian S&P BSE SENSEX
HDFCBANK.BO,HDFC Bank,Indian S&P BSE SENSEX
HINDUNILVR.BO,Hindustan Unilever Limited,Indian S&P BSE SENSEX
ICICIBANK.BO,ICICI Bank,Indian S&P BSE SENSEX
INDUSINDBK.BO,IndusInd Bank,Indian S&P BSE SENSEX
INFY.BO,Infosys,Indian S&P BSE SENSEX
ITC.BO,ITC Limited,Indian S&P BSE SENSEX
KOTAKBANK.BO,Kotak Mahindra Bank,Indian S&P BSE SENSEX
LT.BO,Larsen & Toubro,Indian S&P BSE SENSEX
M&M.BO,Mahindra & Mahindra,Indian S&P BSE SENSEX
MARUTI.BO,Maruti Suzuki,Indian S&P BSE SENSEX
NESTLEIND.BO,Nestlé India,Indian S&P BSE SENSEX
NTPC.BO,NTPC,Indian S&P BSE SENSEX
ONGC.BO,Oil and Natural Gas Corporation,Indian S&P BSE SENSEX
POWERGRID.BO,Power Grid Corporation of India,Indian S&P BSE SENSEX
RELIANCE.BO,Reliance Industries Limited,Indian S&P BSE SENSEX
SBIN.BO,State Bank of India,Indian S&P BSE SENSEX
SUNPHARMA.BO,Sun Pharma,Indian S&P BSE SENSEX
TCS.BO,Tata Consultancy Services,Indian S&P BSE SENSEX
TECHM.BO,Tech Mahindra,Indian S&P BSE SENSEX
TITAN.BO,Titan Company,Indian S&P BSE SENSEX
ULTRACEMCO.BO,UltraTech Cement,Indian S&P BSE SENSEX
ADANIENT.NS,Adani Enterprises,Indian Nifty 50
ADANIPORTS.NS,Adani Ports & SEZ,Indian Nifty 50
APOLLOHOSP.NS,Apollo Hospitals,Indian Nifty 50
ASIANPAINT.NS,Asian Paints,Indian Nifty 50
AXISBANK.NS,Axis Bank,Indian Nifty 50
BAJAJ-AUTO.NS,Bajaj Auto,Indian Nifty 50
BAJFINANCE.NS,Bajaj Finance,Indian Nifty 50
BAJAJFINSV.NS,Bajaj Finserv,Indian Nifty 50
BPCL.NS,Bharat Petroleum,Indian Nifty 50
BHARTIARTL.NS,Bharti Airtel,Indian Nifty 50
BRITANNIA.NS,Britannia Industries,Indian Nifty 50
CIPLA.NS,Cipla,Indian Nifty 50
COALINDIA.NS,Coal India,Indian Nifty 50
DIVISLAB.NS,Divi's Laboratories,Indian Nifty 50
DRREDDY.NS,Dr. Reddy's Laboratories,Indian Nifty 50
EICHERMOT.NS,Eicher Motors,Indian Nifty 50
GRASIM.NS,Grasim Industries,Indian Nifty 50
HCLTECH.NS,HCLTech,Indian Nifty 50
HDFC.NS,HDFC,Indian Nifty 50
HDFCBANK.NS,HDFC Bank,Indian Nifty 50
HDFCLIFE.NS,HDFC Life,Indian Nifty 50
HEROMOTOCO.NS,Hero MotoCorp,Indian Nifty 50
HINDALCO.NS,Hindalco Industries,Indian Nifty 50
HINDUNILVR.NS,Hindustan Unilever,Indian Nifty 50
ICICIBANK.NS,ICICI Bank,Indian Nifty 50
INDUSINDBK.NS,IndusInd Bank,Indian Nifty 50
INFY.NS,Infosys,Indian Nifty 50
ITC.NS,ITC,Indian Nifty 50
JSWSTEEL.NS,JSW Steel,Indian Nifty 50
KOTAKBANK.NS,Kotak Mahindra Bank,Indian Nifty 50
LT.NS,Larsen & Toubro,Indian Nifty 50
M&M.NS,Mahindra & Mahindra,Indian Nifty 50
MARUTI.NS,Maruti Suzuki,Indian Nifty 50
NESTLEIND.NS,Nestlé India,Indian Nifty 50
NTPC.NS,NTPC,Indian Nifty 50
ONGC.NS,Oil and Natural Gas Corporation,Indian Nifty 50
POWERGRID.NS,Power Grid,Indian Nifty 50
RELIANCE.NS,Reliance Industries,Indian Nifty 50
SBILIFE.NS,SBI Life Insurance Company,Indian Nifty 50
SBIN.NS,State Bank of India,Indian Nifty 50
SUNPHARMA.NS,Sun Pharma,Indian Nifty 50
TATAMOTORS.NS,Tata Motors,Indian Nifty 50
TATASTEEL.NS,Tata Steel,Indian Nifty 50
TCS.NS,Tata Consultancy Services,Indian Nifty 50
TATACONSUM.NS,Tata Consumer Products,Indian Nifty 50
TECHM.NS,Tech Mahindra,Indian Nifty 50
TITAN.NS,Titan Company,Indian Nifty 50
ULTRACEMCO.NS,UltraTech Cement,Indian Nifty 50
UPL.NS,UPL,Indian Nifty 50
WIPRO.NS,Wipro,Indian Nifty 50
A2M.AX,The a2 Milk Company,Australian S&P ASX 200
ABC.AX,Adbri,Australian S&P ASX 200
ABP.AX,Abacus Property Group,Australian S&P ASX 200
AGL.AX,AGL Energy,Australian S&P ASX 200
AIA.AX,Auckland Airport,Australian S&P ASX 200
AKE.AX,Allkem,Australian S&P ASX 200
ALD.AX,Ampol,Australian S&P ASX 200
ALL.AX,Aristocrat Leisure,Australian S&P ASX 200
ALQ.AX,ALS,Australian S&P ASX 200
ALU.AX,Altium,Australian S&P ASX 200
ALX.AX,Atlas Arteria,Australian S&P ASX 200
AMC.AX,Amcor,Australian S&P ASX 200
AMP.AX,AMP,Australian S&P ASX 200
ANN.AX,Ansell,Australian S&P ASX 200
ANZ.AX,Australia & New Zealand Banking Group,Australian S&P ASX 200
APA.AX,APA Group,Australian S&P ASX 200
APE.AX,Eagers Automotive,Australian S&P ASX 200
SQ2.AX,Block Inc. CDI,Australian S&P ASX 200
ARB.AX,ARB Corporation,Australian S&P ASX 200
ARF.AX,Arena REIT,Australian S&P ASX 200
ASX.AX,ASX,Australian S&P ASX 200
AUB.AX,AUB Group,Australian S&P ASX 200
AWC.AX,Alumina,Australian S&P ASX 200
AZJ.AX,Aurizon,Australian S&P ASX 200
AVZ.AX,AVZ Minerals,Australian S&P ASX 200
BAP.AX,Bapcor,Australian S&P ASX 200
BEN.AX,Bendigo & Adelaide Bank,Australian S&P ASX 200
BGA.AX,Bega Cheese,Australian S&P ASX 200
BHP.AX,BHP,Australian S&P ASX 200
BKL.AX,Blackmores,Australian S&P ASX 200
BKW.AX,Brickworks,Australian S&P ASX 200
